"cost_scenario","method","n_seeds","HV_mean","HV_sd","IGDplus_mean","IGDplus_sd","mean_pareto_size","mean_minimum_cost_eur","HV_rank","IGDplus_rank"
"all_chain_costs_minus25pct","EHVI",10,0.60880359768774,0.0376085600648138,0.048444523517626,0.015564076903196,25.4,866672542.922246,2,2
"all_chain_costs_minus25pct","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,866167221.200933,3,3
"all_chain_costs_minus25pct","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,866752537.751744,1,1
"all_chain_costs_minus25pct","TS",10,0.592905450298783,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,867056180.042049,4,4
"all_chain_costs_plus25pct","EHVI",10,0.60880359768774,0.0376085600648139,0.048444523517626,0.015564076903196,25.4,1444454238.20374,2,2
"all_chain_costs_plus25pct","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,1443612035.33489,3,3
"all_chain_costs_plus25pct","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,1444587562.91957,1,1
"all_chain_costs_plus25pct","TS",10,0.592905450298782,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,1445093633.40342,4,4
"base","EHVI",10,0.60880359768774,0.0376085600648138,0.048444523517626,0.015564076903196,25.4,1155563390.56299,2,2
"base","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,1154889628.26791,3,3
"base","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,1155670050.33566,1,1
"base","TS",10,0.592905450298783,0.0278897475596301,0.0535443503150267,0.0106467902972434,27.4,1156074906.72273,4,4
"capture_high_JRC_90","EHVI",10,0.60880359768774,0.0376085600648139,0.048444523517626,0.015564076903196,25.4,1441593932.78156,2,2
"capture_high_JRC_90","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,1440753397.64116,3,3
"capture_high_JRC_90","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,1441726993.48805,1,1
"capture_high_JRC_90","TS",10,0.592905450298782,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,1442232061.85212,4,4
"capture_low_JRC_40","EHVI",10,0.60880359768774,0.0376085600648138,0.048444523517626,0.015564076903196,25.4,869532848.344431,2,2
"capture_low_JRC_40","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,869025858.894666,3,3
"capture_low_JRC_40","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,869613107.183268,1,1
"capture_low_JRC_40","TS",10,0.592905450298782,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,869917751.593343,4,4
"storage_high_JRC_35","EHVI",10,0.60880359768774,0.0376085600648138,0.048444523517626,0.015564076903196,25.4,1327181715.89413,2,2
"storage_high_JRC_35","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,1326407889.89186,3,3
"storage_high_JRC_35","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,1327304216.22709,1,1
"storage_high_JRC_35","TS",10,0.592905450298783,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,1327769199.80037,4,4
"storage_low_JRC_5","EHVI",10,0.60880359768774,0.0376085600648138,0.048444523517626,0.015564076903196,25.4,983945065.231856,2,2
"storage_low_JRC_5","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,983371366.643964,3,3
"storage_low_JRC_5","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,984035884.444225,1,1
"storage_low_JRC_5","TS",10,0.592905450298782,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,984380613.645099,4,4
"transport_high_JRC_30","EHVI",10,0.60880359768774,0.0376085600648138,0.048444523517626,0.015564076903196,25.4,1315740494.20539,2,2
"transport_high_JRC_30","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,1314973339.11693,3,3
"transport_high_JRC_30","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,1315861938.501,1,1
"transport_high_JRC_30","TS",10,0.592905450298783,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,1316322913.59519,4,4
"transport_low_JRC_2","EHVI",10,0.60880359768774,0.0376085600648138,0.048444523517626,0.015564076903196,25.4,995386286.920599,2,2
"transport_low_JRC_2","EPI",10,0.608073933297643,0.0326441278608142,0.0512937564146206,0.0129511435386446,14.9,994805917.418894,3,3
"transport_low_JRC_2","SCAL",10,0.617606802446746,0.0423726004839933,0.0421151221452439,0.021601735454661,35.5,995478162.17032,1,1
"transport_low_JRC_2","TS",10,0.592905450298783,0.02788974755963,0.0535443503150267,0.0106467902972434,27.4,995826899.850274,4,4
