"normalized_storage","normalized_low_unretained_volume","normalized_low_cost"
0.172090939848509,1,1
0.787556984378863,1,0.272727272727273
0.17582981502895,1,0.995454545454545
0.177522072989534,1,0.990909090909091
0.796920805576145,1,0.245454545454546
0.183577085732559,1,0.986363636363636
0.808269342982801,1,0.231818181818182
0.187525671950937,1,0.981818181818182
0.819572812066835,1,0.218181818181819
0.19147343043378,1,0.977272727272727
0.830615287617643,1,0.204545454545455
0.195172421058118,1,0.972727272727273
0.84220645213015,1,0.190909090909091
0.199033371719509,1,0.968181818181818
0.85305947435089,1,0.177272727272728
0.202893195191372,1,0.963636363636364
0.862775537307916,1,0.163636363636364
0.206754145852763,1,0.959090909090909
0.874340837416933,1,0.150000000000001
0.211046518959719,1,0.954545454545455
0.885740249063831,1,0.136363636363637
0.21447556214134,1,0.95
0.897334514386846,1,0.122727272727273
0.245827480358895,1,0.945454545454545
0.908909237171493,1,0.10909090909091
0.249572563856146,1,0.940909090909091
0.920498050320524,1,0.0954545454545465
0.253313381216684,1,0.936363636363636
0.931795023757084,1,0.0818181818181819
0.25709904574567,1,0.931818181818182
0.942980660262974,1,0.0681818181818195
0.260862383536897,1,0.927272727272727
0.954507196351318,1,0.0545454545454551
0.264600833780702,1,0.922727272727273
0.965690828224608,1,0.0409090909090918
0.268339284024507,1,0.918181818181818
0.976899650602102,1,0.0272727272727276
0.272061740874068,1,0.913636363636364
0.988204940212043,1,0.0136363636363645
0.275815882817097,1,0.909090909090909
1,1,6.02380858974055e-16
0.541194302007849,0.699233385579461,0.272727272727274
0.732735610000865,1,0.272727272727273
