"seed","method","final_IGD_plus_grid_only","final_IGD_plus_grid_plus_BO_union","difference_union_minus_grid"
1,"TS",0.0790044686708619,0.0805954994334915,0.00159103076262954
1,"SCAL",0.0815336919643572,0.0818106864378127,0.000276994473455514
1,"EHVI",0.0868599669329254,0.0880826372372202,0.00122267030429477
1,"EPI",0.0503808498141864,0.0483780469721265,-0.0020028028420599
2,"TS",0.0800101241378369,0.079010005150055,-0.00100011898778192
2,"SCAL",0.054789564080422,0.0563453856111036,0.00155582153068157
2,"EHVI",0.071854535038877,0.0730972709420856,0.00124273590320856
2,"EPI",0.0499041214617658,0.0475030155716093,-0.00240110589015649
3,"TS",0.0617092854535704,0.0612377812988029,-0.00047150415476746
3,"SCAL",0.0364863881590504,0.0379894854733071,0.00150309731425675
3,"EHVI",0.0644288277290398,0.0626908240411988,-0.00173800368784101
3,"EPI",0.0682638227160784,0.0696409102318096,0.00137708751573119
4,"TS",0.0723069246574813,0.0748317321475996,0.0025248074901183
4,"SCAL",0.0140597103510468,0.0128653788433222,-0.00119433150772463
4,"EHVI",0.040086842205583,0.043112107703392,0.00302526549780906
4,"EPI",0.056751568127819,0.0559918847416103,-0.000759683386208659
5,"TS",0.0589275003232695,0.061387404859023,0.00245990453575343
5,"SCAL",0.0323000995300952,0.0331529196805573,0.000852820150462077
5,"EHVI",0.0687303509822806,0.0709316341689562,0.00220128318667559
5,"EPI",0.0634976039110125,0.0633649787231437,-0.000132625187868843
6,"TS",0.0752511206908772,0.0754638201809312,0.000212699490054036
6,"SCAL",0.0547344741104268,0.057076917980987,0.00234244387056026
6,"EHVI",0.0699698594928324,0.0720203978889839,0.00205053839615155
6,"EPI",0.0539362660164701,0.0530752986386526,-0.000860967377817448
7,"TS",0.0682166887318285,0.0680507374227345,-0.000165951309094053
7,"SCAL",0.0911610155628972,0.0911907302175697,2.97146546724969e-05
7,"EHVI",0.0441337883815248,0.0438173343499485,-0.000316454031576291
7,"EPI",0.0966785917392015,0.0951718200934072,-0.00150677164579423
8,"TS",0.0616332763819758,0.0645234353026224,0.00289015892064663
8,"SCAL",0.0627286944514234,0.0641297464340991,0.0014010519826757
8,"EHVI",0.0389271016562953,0.0375302962352493,-0.00139680542104597
8,"EPI",0.0508849608911084,0.0495534984197848,-0.00133146247132361
9,"TS",0.0386793270059022,0.0366154770107787,-0.0020638499951235
9,"SCAL",0.0136995304521369,0.0122624093947517,-0.00143712105738517
9,"EHVI",0.0227995273355389,0.0200342741502855,-0.00276525318525337
9,"EPI",0.0671829420473217,0.0630872381778304,-0.0040957038694913
10,"TS",0.0556994409966226,0.0561095116124658,0.000410070615843132
10,"SCAL",0.0615806778441235,0.0634983204113997,0.00191764256727622
10,"EHVI",0.069349494192501,0.0704614239938463,0.00111192980134529
10,"EPI",0.0650540056362633,0.0644358781048533,-0.000618127531409968
