"seed","method","final_hypervolume","final_IGD_plus","final_pareto_size","mean_nearest_neighbor","spacing_sd","objective_extent","best_f1_retained_integral_m3yr","best_f2_unretained_final_m3","best_f3_total_cost_eur"
1,"TS",0.579634729062157,0.0790044686708619,46,0.0422423462964564,0.184407800539223,2.12890019632813,686520641.993336,0,1166891650.23736
1,"SCAL",0.563821797573938,0.0815336919643572,48,0.0353233095033779,0.111396732714701,2.5294256860201,752581342.547672,0,1154208437.38237
1,"EHVI",0.545168777169928,0.0868599669329254,14,0.0734637269462422,0.0431801896699507,2.41642801822414,708449379.008347,0,1151981104.74546
1,"EPI",0.641658881716262,0.0503808498141864,15,0.06815708361795,0.113125004283835,2.08391382206275,746156639.392763,0,1153480658.03846
2,"TS",0.562154056287579,0.0800101241378369,46,0.0215336836165465,0.107036618848423,2.29015896510599,710722176.985894,0,1151681117.12075
2,"SCAL",0.60831028845554,0.054789564080422,35,0.0235606982613954,0.0646857250348454,2.07429517519119,781940501.422216,0,1153699464.30795
2,"EHVI",0.583427474130812,0.071854535038877,46,0.0135117075503968,0.033019957260832,2.06238931010382,745218692.654919,0,1154397821.13663
2,"EPI",0.632150217642488,0.0499041214617658,11,0.0472632755958231,0.0438325925550722,1.94985736564125,730113362.114074,0,1154397821.13663
3,"TS",0.573190181449329,0.0617092854535704,20,0.0711639728212558,0.125117915822904,2.45346723872115,768819823.336136,0,1153585727.37247
3,"SCAL",0.629144646371069,0.0364863881590504,25,0.0163387414501132,0.0285526111076114,1.87257936630023,833949418.666173,0,1156688128.86301
3,"EHVI",0.626436965281397,0.0644288277290398,23,0.0420190646447535,0.059008643301334,2.08615033574313,778442761.85845,0,1151977211.40215
3,"EPI",0.586680079644038,0.0682638227160784,14,0.0404360240077528,0.0519824185838833,1.85474590797465,723179514.294899,0,1156416461.13553
4,"TS",0.589418658465716,0.0723069246574813,27,0.0187952766593812,0.0531044940422243,1.65523659524011,712680498.078651,0,1160444365.66344
4,"SCAL",0.685580693881062,0.0140597103510468,18,0.0237730601304006,0.0363235091769952,1.89721024268184,803412879.036328,0,1153997530.92978
4,"EHVI",0.623929859698356,0.040086842205583,29,0.0175619791759068,0.0428798995476948,1.80446424400047,817983513.908264,0,1153765976.66186
4,"EPI",0.612829526494942,0.056751568127819,15,0.0290526390232836,0.0538366785492072,1.98108762939442,718170293.177989,0,1154243761.4372
5,"TS",0.596988113003901,0.0589275003232695,14,0.0429109187822068,0.0721610382077608,1.74990595868603,765074456.51798,0,1152202811.7876
5,"SCAL",0.638557302371393,0.0323000995300952,30,0.0301623837627055,0.0553785062603463,2.14950411868656,813502674.443543,0,1155484810.1249
5,"EHVI",0.585392173713835,0.0687303509822806,33,0.0168908432043671,0.0332088385420904,1.93511907205551,748083777.399606,0,1152305992.48954
5,"EPI",0.584878205932001,0.0634976039110125,14,0.0783600494362566,0.0813852949089545,2.1134703148484,783672554.765925,0,1151540414.03109
6,"TS",0.577786126703486,0.0752511206908772,34,0.0229849967003576,0.0402962737298071,1.96094058357811,723619608.200371,0,1159495571.79816
6,"SCAL",0.604096933298871,0.0547344741104268,38,0.0109334701874297,0.0207049194206018,1.7594744150737,772796339.167385,0,1157385178.86285
6,"EHVI",0.587796490722851,0.0699698594928324,20,0.022798413941304,0.0337517219448389,1.73260371854511,732815260.93984,0,1153928659.39426
6,"EPI",0.638236169697757,0.0539362660164701,18,0.0382351260857673,0.0313733693831795,2.15300497942186,828029312.557895,0,1151413627.77392
7,"TS",0.57286160832747,0.0682166887318285,37,0.0166593203790976,0.0467718254336924,1.88272265493631,740610689.750965,0,1154082567.09165
7,"SCAL",0.56299395471409,0.0911610155628972,43,0.0166541887001872,0.0391058125179023,2.03101774828223,728113406.525632,0,1153869667.99147
7,"EHVI",0.617816984131917,0.0441337883815248,19,0.0182834295969917,0.0180019174365055,1.93483351658551,785917783.908935,0,1154464011.59205
7,"EPI",0.538026236204718,0.0966785917392015,22,0.0562015402675735,0.0724330094067399,2.36213792841627,740243951.92395,0,1153552415.60218
8,"TS",0.597066333382994,0.0616332763819758,12,0.0482084655950781,0.0474470633028434,1.9348936053827,746111428.025916,0,1153831221.59487
8,"SCAL",0.593437073287066,0.0627286944514234,34,0.0287048059678925,0.0987944788473264,2.14286816350335,736519454.445691,0,1158882134.71707
8,"EHVI",0.654986125128426,0.0389271016562953,16,0.0346345196590811,0.030015111910672,1.77434266195102,761283469.248137,0,1154095058.33531
8,"EPI",0.633408481003607,0.0508849608911084,10,0.115561006176256,0.1462225962822,2.12484898353718,723257969.870908,0,1166079464.45433
9,"TS",0.660308197418951,0.0386793270059022,26,0.0444682574310784,0.0984146816897244,2.06917925462716,744892268.679059,0,1152979234.7339
9,"SCAL",0.67862568983209,0.0136995304521369,30,0.0340749690549064,0.079473895897457,2.26561611689122,837712163.079185,0,1158518656.54977
9,"EHVI",0.667774810077257,0.0227995273355389,16,0.0733662977703262,0.1287114938807,2.26868171826719,841628904.809238,0,1176210000.5871
9,"EPI",0.609479807411617,0.0671829420473217,19,0.0708942654467902,0.059899647879875,2.1305242026633,742991659.843336,0,1152216859.24265
10,"TS",0.607365517169872,0.0556994409966226,12,0.124522014562496,0.144109706971398,2.53645491635716,742223653.818252,0,1155554799.82712
10,"SCAL",0.59786120409865,0.0615806778441235,54,0.014907437839788,0.0473982555097568,2.09378712625117,762259289.018862,0,1153966493.62743
10,"EHVI",0.58203566228241,0.069349494192501,38,0.0248228731923846,0.0775562126849818,2.11391085536468,742223653.818252,0,1152508069.28559
10,"EPI",0.590519335277309,0.0650540056362633,11,0.144640897275261,0.121176027219955,2.28492989079172,742223653.818252,0,1155554799.82712
