"seed","method","minimum_increment","passes"
1,"EHVI",0,TRUE
2,"EHVI",0,TRUE
3,"EHVI",0,TRUE
4,"EHVI",0,TRUE
5,"EHVI",0,TRUE
6,"EHVI",0,TRUE
7,"EHVI",0,TRUE
8,"EHVI",0,TRUE
9,"EHVI",0,TRUE
10,"EHVI",0,TRUE
1,"EPI",0,TRUE
2,"EPI",0,TRUE
3,"EPI",0,TRUE
4,"EPI",0,TRUE
5,"EPI",0,TRUE
6,"EPI",0,TRUE
7,"EPI",0,TRUE
8,"EPI",0,TRUE
9,"EPI",0,TRUE
10,"EPI",0,TRUE
1,"SCAL",0,TRUE
2,"SCAL",0,TRUE
3,"SCAL",0,TRUE
4,"SCAL",0,TRUE
5,"SCAL",0,TRUE
6,"SCAL",0,TRUE
7,"SCAL",0,TRUE
8,"SCAL",0,TRUE
9,"SCAL",0,TRUE
10,"SCAL",0,TRUE
1,"TS",0,TRUE
2,"TS",0,TRUE
3,"TS",0,TRUE
4,"TS",0,TRUE
5,"TS",0,TRUE
6,"TS",0,TRUE
7,"TS",0,TRUE
8,"TS",0,TRUE
9,"TS",0,TRUE
10,"TS",0,TRUE
